Bug ID,Reported In,URL,Database,Version / Commit,R Uncommitted,R Committed,Repeatable R,Serializable,Pessimistic,Optimistic,Interesting,Bug summary,Transaction Bug,Bug type,Deterministic,# Connections,Root cause,Issue closed
MDEV-14868,ICSE2024,https://jira.mariadb.org/browse/MDEV-14868,MariaDB,10.2.12-encrypted-logs,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Rollbacks make the server crash.,TRUE,Crash,TRUE,1,,TRUE
MDEV-16024,ICSE2024,https://jira.mariadb.org/browse/MDEV-16024,MariaDB,10.3.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The begin_timestamp of a transaction is larger than a timestamp taken during the transaction.,TRUE,Incorrect database state,TRUE,1,,TRUE
MDEV-16675,ICSE2024,https://jira.mariadb.org/browse/MDEV-16675,MariaDB,10.3.8-debug (patched),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"In this test, there is no conflict, and the DELETE statement should not convert the implicit lock into an explicit one. But, the function lock_rec_convert_impl_to_expl_for_trx() is being invoked during the test.",TRUE,Low performance,TRUE,1,,TRUE
MDEV-18044,ICSE2024,https://jira.mariadb.org/browse/MDEV-18044,MariaDB,10.3.8-debug,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Adding an IF statement unecessarily adds a row lock.,TRUE,Unnecessary locking,TRUE,2,,FALSE
MDEV-19535,ICSE2024,https://jira.mariadb.org/browse/MDEV-19535,MariaDB,10.4.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Setting sql_mode='ORACLE' makes MariaDB miss some required locks.,TRUE,Missing blocking,TRUE,2,,TRUE
MDEV-21516,ICSE2024,https://jira.mariadb.org/browse/MDEV-21516,MariaDB,10.6.0-debug,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,MariaDB Crashes.,TRUE,Crash,TRUE,1,,FALSE
MDEV-24082,ICSE2024,https://jira.mariadb.org/browse/MDEV-24082,MariaDB,10.1.38,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"This fails with 'Cannot execute statement in a READ ONLY transaction', despite only attempting to update the temporary table. However, if you modify the UPDATE to use a subquery instead of a join, it works.",TRUE,Unexpected error,TRUE,1,,FALSE
MDEV-24083,ICSE2024,https://jira.mariadb.org/browse/MDEV-24083,MariaDB,10.1.48,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"The DLL language is not permited in readonly transactions, even though it should.",TRUE,Unexpected error,TRUE,1,The documentation and the actual implementation mismatch.,FALSE
MDEV-24224,ICSE2024,https://jira.mariadb.org/browse/MDEV-24224,MariaDB,10.5.8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Delete statement creates unnecessary gap lock ('gap before rec' present in innodb status).,TRUE,Unnecessary locking,TRUE,1,,TRUE
MDEV-24545,ICSE2024,https://jira.mariadb.org/browse/MDEV-24545,MariaDB,10.3.28,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Transactions are unable to find a sequence, even though it should be available.",TRUE,Unexpected error,TRUE,2,,TRUE
MDEV-25297,ICSE2024,https://jira.mariadb.org/browse/MDEV-25297,MariaDB,356c1496-debug,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,A rollback makes the database crash.,TRUE,Crash,TRUE,1,,TRUE
MDEV-25457,ICSE2024,https://jira.mariadb.org/browse/MDEV-25457,MariaDB,10.2.37,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Updates on a temporary table inside a read-only transaction make the server crash.,TRUE,Crash,TRUE,1,,TRUE
MDEV-25546,ICSE2024,https://jira.mariadb.org/browse/MDEV-25546,MariaDB,30.3.34,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The partition scheduling is not respected.,TRUE,Incorrect database state,TRUE,1,,TRUE
MDEV-26642,ICSE2024,https://jira.mariadb.org/browse/MDEV-26642,MariaDB,10.6.17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Concurent updates are inconsistent (some rows are not updated).,TRUE,Incorrect database state,TRUE,2,,TRUE
MDEV-26643,ASE2022,https://jira.mariadb.org/browse/MDEV-26643,MariaDB,10.5.12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,The behaviors of UPDATE for different rows are inconsistent. Just some of the rows are not updated while others are.,TRUE,Incorrect database state,TRUE,2,,TRUE
MDEV-27992,ASE2022,https://jira.mariadb.org/browse/MDEV-27992,MariaDB,10.7.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"One transaction deletes everything from a table, but following SELECT still sees data",TRUE,Incorrect database state,TRUE,2,,TRUE
MDEV-28027,ASE2022,https://jira.mariadb.org/browse/MDEV-28027,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Rand behaviour is not correct,FALSE,Incorrect query result,TRUE,1,,FALSE
MDEV-28140,ASE2022,https://jira.mariadb.org/browse/MDEV-28140,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Update, Delete and Select behave differently when dealing with invalid data",FALSE,Incorrect query result,TRUE,1,,FALSE
MDEV-28944,ICSE2024,https://jira.mariadb.org/browse/MDEV-28944,MariaDB,cb1f08bd-debug,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The DB server crashes during an XA rollback.,TRUE,Crash,TRUE,2,,TRUE
MDEV-29083,OSDI2023,https://jira.mariadb.org/browse/MDEV-29083,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"A subquery works when running within a transaction, fails when outside of a transaction",TRUE,Operation error,TRUE,2,,FALSE
MDEV-29118,OSDI2023,https://jira.mariadb.org/browse/MDEV-29118,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The server crashes,FALSE,Crash,TRUE,1,,FALSE
MDEV-29120,OSDI2023,https://jira.mariadb.org/browse/MDEV-29120,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The server crashes,TRUE,Crash,TRUE,2,,FALSE
MDEV-29123,OSDI2023,https://jira.mariadb.org/browse/MDEV-29123,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,A rolled back insert makes further select produce different values,TRUE,Incorrect query result,TRUE,2,,FALSE
MDEV-29187,ICSE2024,https://jira.mariadb.org/browse/MDEV-29187,MariaDB,10.7.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The TID of the transaction being rolled back is off by one in logs when deadlocks occur.,TRUE,Incorrect query result,TRUE,2,,TRUE
MDEV-29232,OSDI2023,https://jira.mariadb.org/browse/MDEV-29232,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The server crashes,FALSE,Crash,TRUE,1,,TRUE
MDEV-29243,OSDI2023,https://jira.mariadb.org/browse/MDEV-29243,MariaDB,10.8.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,The server crashes,TRUE,Crash,TRUE,2,,TRUE
MDEV-29399,OSDI2023,https://jira.mariadb.org/browse/MDEV-29399,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Rolled back operations make select produce different results,TRUE,Incorrect query result,TRUE,3,,FALSE
MDEV-29400,OSDI2023,https://jira.mariadb.org/browse/MDEV-29400,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The database system crashes,FALSE,Crash,TRUE,1,,TRUE
MDEV-29483,OSDI2023,https://jira.mariadb.org/browse/MDEV-29483,MariaDB,10.10.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The server crashes,FALSE,Crash,TRUE,1,,FALSE
MDEV-29489,OSDI2023,https://jira.mariadb.org/browse/MDEV-29489,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The server crashes,TRUE,Crash,TRUE,2,,TRUE
MDEV-29494,OSDI2023,https://jira.mariadb.org/browse/MDEV-29494,MariaDB,10.10.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Triggers sporadic crashes of the server,FALSE,Crash,FALSE,1,,TRUE
MDEV-29565,OSDI2023,https://jira.mariadb.org/browse/MDEV-29565,MariaDB,10.8.3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Two SELECTs have different results when they shouldn't,TRUE,Incorrect query result,TRUE,2,,TRUE
MDEV-29585,OSDI2023,https://jira.mariadb.org/browse/MDEV-29585,MariaDB,10.8.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Adding additional filters in WHERE changes the value of rows,FALSE,Incorrect query result,TRUE,1,,FALSE
MYSQL-100293,ICSE2024,https://bugs.mysql.com/bug.php?id=100293,MySQL,5.7.31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,The SERIALIZABLE transactions are not blocked for query cache,TRUE,Missing blocking,TRUE,2,,TRUE
MYSQL-100328,ICSE2024,https://bugs.mysql.com/bug.php?id=100328,MySQL,5.7.22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,UPDATE does not update all records,TRUE,Incorrect database state,TRUE,2,,FALSE
MYSQL-102722,ICSE2024,https://bugs.mysql.com/bug.php?id=102722,MySQL,8.0.26,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Locks on secondary indexes are not released even though the secondary indexes are unmatched when index_condition_pushdown=off,TRUE,Unnecessary blocking,TRUE,1,,TRUE
MYSQL-104245,ICSE2024,https://bugs.mysql.com/bug.php?id=104245,MySQL,5.7.34,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,There are too many row locks issued.,TRUE,Unnecessary blocking,TRUE,1,,FALSE
MYSQL-107066,OSDI2023,https://bugs.mysql.com/bug.php?id=107066,MySQL,8.0.23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Rollback does not revert autoincemented keys,TRUE,Incorrect database state,TRUE,2,,FALSE
MYSQL-107887,OSDI2023,https://bugs.mysql.com/bug.php?id=107887,MySQL,8.0.23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Two SELECTs have different results when they shouldn't,TRUE,Incorrect query result,TRUE,2,,TRUE
MYSQL-107898,OSDI2023,https://bugs.mysql.com/bug.php?id=107898,MySQL,8.0.23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Two SELECTs have different results when they shouldn't,TRUE,Incorrect query result,TRUE,2,,FALSE
MYSQL-108528,OSDI2023,https://bugs.mysql.com/bug.php?id=108528,MySQL,8.0.23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Two SELECTs have different results when they shouldn't,TRUE,Incorrect query result,TRUE,2,,FALSE
MYSQL-114389,Other,https://bugs.mysql.com/bug.php?id=114389,MySQL,8.0.12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,A SELECT sees data that shouldn't be visible.,TRUE,Incorrect query result,TRUE,3,,TRUE
MYSQL-90987,ICSE2024,https://bugs.mysql.com/bug.php?id=90987,MySQL,5.7.17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Using a parition index causes deadlocks,TRUE,Unnecessary locking,TRUE,2,,FALSE
MYSQL-91646,ICSE2024,https://bugs.mysql.com/bug.php?id=91646,MySQL,5.7.22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"When super_read_only is true, all xa commands will still return OK, but normal transactions return ERROR when doing 'commit'",FALSE,Missing error,TRUE,2,,FALSE
MYSQL-91837,ICSE2024,https://bugs.mysql.com/bug.php?id=91837,MySQL,5.7.22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,transaction start date is not expressed in session time zone,FALSE,Incorrect query result,TRUE,2,,FALSE
MYSQL-92558,ICSE2024,https://bugs.mysql.com/bug.php?id=92558,MySQL,8.0.12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,The 'trx_is_read_only' flag is not set on implicit read-only transactions.,FALSE,Incorrect monitoring,TRUE,1,,FALSE
MYSQL-92993,ICSE2024,https://bugs.mysql.com/bug.php?id=92993,MySQL,8.0.13-debug,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Running 'xa rollback' makes the database crash,FALSE,Crash,TRUE,1,,FALSE
MYSQL-93806,ICSE2024,https://bugs.mysql.com/bug.php?id=93806,MySQL,8.0.12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Exclusive range locks are created when using ON DUPLICATE KEY UPDATE (and the update takes place),TRUE,Unnecessary blocking,TRUE,2,,TRUE
MYSQL-94338,ICSE2024,https://bugs.mysql.com/bug.php?id=94338,MySQL,5.7.21,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Dirty read-like behavior in transaction,TRUE,Incorrect query result,TRUE,2,,FALSE
MYSQL-95049,ICSE2024,https://bugs.mysql.com/bug.php?id=95049,MySQL,8.0.39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Locks are relased on rollback, even though documentation specifies they shouldn't.",TRUE,Missing blocking,TRUE,2,,FALSE
TIDB-18956,ICSE2024,https://github.com/pingcap/tidb/issues/18956,TiDB,4.0.4.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Delete throws a duplicate error,TRUE,Unexpected error,TRUE,1,,TRUE
TIDB-18958,ICSE2024,https://github.com/pingcap/tidb/issues/18958,TiDB,4.0.4.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Insert doesn't fail despite having a duplicate record, when in a transaction",TRUE,Incorrect database state,TRUE,1,,TRUE
TIDB-19063,ICSE2024,https://github.com/pingcap/tidb/issues/19063,TiDB,bdc59e6ec83e759eba50da390228a0f642838e7a,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Duplicate keys are ignored in insert statements.,TRUE,Incorrect database state,TRUE,1,,TRUE
TIDB-19104,ICSE2024,https://github.com/pingcap/tidb/issues/19104,TiDB,7cac557b024f0aaca6825193477e5e6daea7055b,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Select gives different values in a transaction and outside.,TRUE,Incorrect query result,TRUE,1,,TRUE
TIDB-19136,ICSE2024,https://github.com/pingcap/tidb/issues/19136,TiDB,4.0.4.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Select dives a different value when inside a transaction and when outside.,TRUE,Incorrect query result,TRUE,1,,TRUE
TIDB-19194,ICSE2024,https://github.com/pingcap/tidb/issues/19194,TiDB,4.0.4.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Replace into fails in transaction but works outside.,TRUE,Unexpected error,TRUE,1,,TRUE
